State,Groups Joined,Number of Members,Which day do they allow business posts?,pleace
Massachusetts,Walpole Bulletin Board,7k members,Any day,Walpole
Massachusetts,"Townsend, Ma - Whats going on",13.4k members,Any day,Townsend
Massachusetts,"Everything Canton, MA",13.2k member,Anyday,Canton
Massachusetts,"Positively Mansfield, MA",3.4k members,2 post per month,Mansfield Center
Massachusetts,Best of Westborough,5.4k members,Tuesday,Westborough
Massachusetts,"We are from Westborough, MA!",3.8k members,Monday,Westborough
Massachusetts,The Sandwich Scoop,11.8k members,Once a day,Sandwich
Massachusetts,"ALL Things Grafton,MA",5.8k members,Once a week,Grafton
Massachusetts,Holliston Bulletin Board,6.1k members,Anyday,Holliston
Massachusetts,"Wilbraham MA, Open Forum",10k members,Once a week,Wilbraham
Massachusetts,Holliston Bulletin Board,6.1k members,Anyday,Holliston
Massachusetts,North Andover MA Community Board,9.6k members,Sunday,Andover
Massachusetts,"Life in Rockland, MA",3.8K members,Any day,Rockland
Massachusetts,Shrewsbury Ma (Community Connections),8.4K members,Any day,Shrewsbury
Massachusetts,RehobothTalk,12.7k members,once a month,Rehoboth
Massachusetts,"Growing Up In Dorchester, MA",7.3k members ,Any day,Chester
Massachusetts,West Springfield Forum,6.6k members,Any day,West Springfield
Massachusetts,"Wilbraham MA, Open Forum",10k members,once a week,Wilbraham
Massachusetts,"Danvers, MA",2.5k members ,Any day,Danvers
Massachusetts,ALL Things Williamsburg,3.9k members ,Any day,Williamsburg
Massachusetts,Everything Canton Ma Community Group,5.4k members,wednesday,Canton
