type,pleace,State,Groups Joined,Number of Members,Which day do they allow business posts?
1,Canton,Massachusetts,"Everything Canton, MA",13.2k member,Anyday
1,Sandwich,Massachusetts,The Sandwich Scoop,11.8k members,Once a day
1,Holliston,Massachusetts,Holliston Bulletin Board,6.1k members,Anyday
1,Marshfield,Massachusetts,Marshfield Connect,9K members,THRICE a month
1,Rockland,Massachusetts,Rockland Hub (Massachusetts),10K members,Monday
1,Westborough,Massachusetts,Best of Westborough,5.4k members,Tuesday
1,Grafton,Massachusetts,"ALL Things Grafton,MA",5.8k members,Once a week
1,Halifax,Massachusetts,Halifax MA Community Page,9.7K members,ONCE a week
1,Longmeadow,Massachusetts,East Longmeadow Town Forum,14.4k members,Any day
1,Marshfield,Massachusetts,Town Locals ~ Marshfield MA,5.1K members,Any day
1,Taunton, Massachusetts,"Talk About Taunton, MA",3.1K members,Any day
1,Marshfield,Massachusetts,Marshfield Forum,15.7k members,Any day
1,Whitman,Massachusetts,Whitman MA (Explicit Content),5.3K members,Any day
1,Winchester,Massachusetts,"Winchester, MA",4k members,Any day
1,Norwood,Massachusetts,"Celebrate Norwood (all things Norwood, MA)",7.3k members,Any day
1,Needham,Massachusetts,"Needham, MA",17.6K ,ONCE a month
1,Mansfield,Massachusetts,"Everything Mansfield, MA",18K members,WEDNESDAYS 
1,Westborough,Massachusetts,"We are from Westborough, MA!",3.8k members,Monday
1,Easton,Massachusetts,Easton Connect,5.3K members,Monday
1,Longmeadow,Massachusetts,Longmeadow MA Open Forum,20.6k members,Once per week
1,Wilbraham,Massachusetts,"Wilbraham MA, Open Forum",9.9K members,ONCE a week
1,Wilbraham,Massachusetts,"Wilbraham MA, Open Forum",10k members,once a week
1,FALMOUTH,Massachusetts,ANYTHING FALMOUTH,9.5k members,Any day
1,Whitman,Massachusetts,Our Whitman Connection,1.9K members,TWICE a month
1,Foxborough,Massachusetts,Foxborough Recommends,6.3k members,Any day
1,Walpole,Massachusetts,Everything Walpole,8.4k members,Any day
1,Easton,Massachusetts,"Everything Easton, MA",9.7K members,Saturday
1,Foxborough,Massachusetts,Foxboro Discussion,15.1k members,Any day
1,Pembroke,Massachusetts,Pembroke MA Hub,2.8K members,Any day
1,Norwell,Massachusetts,Norwell Connect,6.0K members,THRICE a month
1,Westford,Massachusetts,Westford friends & Neighbors,5.2k members,Once a month
1,Westwood,Massachusetts,"Westwood, MA Bulletin Board",8.3k members,Once per quarter
1,Walpole,Massachusetts,Walpole Bulletin Board,7k members,Any day
1,Wakefield,Massachusetts,"Wakefield, MA Community Page",13.4k members,once per week
1,Easton,Massachusetts,"Everything Good About Easton, MA",1.4K members,ONCE a week 
1,Pembroke,Massachusetts,Pembroke Connect,24.0K members,THRICE a month
1,Mansfield,Massachusetts,"Positively Mansfield, MA",3.4k members,2 post per month
1,Somerset,Massachusetts,"""Our Town: Somerset",15.5k members,Sunday and Wednesday
1,Somerset,Massachusetts,Positively Somerset,9.4k members,Any day
1,Holliston,Massachusetts,Holliston Residents & Fans,5k members ,Anyday
1,Wareham,Massachusetts,Matters of Wareham,16.8k members,Any day
1,Westwood,Massachusetts,"Westwood, MA Bulletin Board",8.3K members,2-4 times a year
1,Shrewsbury,Massachusetts,Shrewsbury Ma (Community Connections),8.4K members,Any day
1,Marblehead,Massachusetts,Scituate Connect,14.1k members,3 times per month
1,Danvers,Massachusetts,"Danvers, Massachusetts",5.9k members,Any day
1,Duxbury,Massachusetts,Duxbury helping Duxbury,15.5K members,Anyday
1,Belchertown,Massachusetts,The Polite Belchertown Community Forum,5k members,Anyday
1,Blackstone,Massachusetts,"Blackstone, MA Friends and Neighbors",3.7k members,Any day
1,UXBRIDGE,Massachusetts,UXBRIDGE MASSACHUSETTS (OFFICIAL TOWN PAGE),5.1K members,Any day
1,Franklin,Massachusetts,All about Franklin Mass,21.6k members,Any day
1,Charlton,Massachusetts,Charlton Area Community Forum,8k members,Saturday and Monday
1,Athol,Massachusetts,"Athol, Ma Community Notice",2.6k members,Any day
1,Rockland,Massachusetts,"Life in Rockland, MA",3.8K members,Any day
1,Norton,Massachusetts,Norton Connect,6.5K members,Friday
1,Marblehead,Massachusetts,Anything Marblehead 01945,9.3k members,Any day
1,Rehoboth,Massachusetts,RehobothTalk,12.7k members,once a month
1,Westport,Massachusetts,"Today In Westport, MA",3.2k members,Any day
1,Plymouth,Massachusetts,All Things Plymouth MA,15.6k members,Any day
1,Townsend,Massachusetts,"Townsend, Ma - Whats going on",13.4k members,Any day
1,Westport,Massachusetts,"Westport, Massachusetts","19,6k members",Any day
1,Duxbury,Massachusetts,Duxbury Connect,3.5K members,Any day
1,Medfield,Massachusetts,Friends In Medfield,5.8k members,Friday
1,Williamsburg,Massachusetts,ALL Things Williamsburg,3.9k members ,Any day
1,East Bridgewater,Massachusetts,The East Bridgewater Hub,11.9k members,ONCE a week
1,Raynham,Massachusetts,All Things Raynham,4.3k members ,Anyday
1,Danvers,Massachusetts,"Danvers, MA",2.5k members ,Any day
1,North Andover,Massachusetts,North Andover MA Community Board,9.6k members,Sunday
1,Swansea,Massachusetts,"The REAL Swansea, MA",18.9k members,Once a week
1,Hanover,Massachusetts,Everything Hanover Mass,4.3K members,Any day
1,Hanover,Massachusetts,Hanover Connect,17.0K members,THRICE a month
1,Auburn,Massachusetts,The REAL Auburn Site,10.3k members,Monday
1,Hanover,Massachusetts,EVERYTHING HANOVER MA 02339,2K members,Any day
1,Hanover,Massachusetts,Hanover connect 2,4.3K members,Any day
1,Berkley,Massachusetts,"Town Of Berkley, MA Residents",5.4k members,Any day
1,Norwell,Massachusetts,Norwell Social,7.7K members,ONCE a month
1,Raynham,Massachusetts,Raynham Residents Classified,27k members,Anyday
1,Holliston,Massachusetts,I'm HOLLISTON HAPPY!!,11.6k members,Monday
1,uxbridge,Massachusetts,Uniquely uxbridge,9.7k members,Any day
2,Greenfield,Massachusetts,Everything Greenfield MA,15.6k members,Any day
2,North Adams,Massachusetts,North Adams Chat,9.1k members,Any day
2,HAVERHILL,Massachusetts,HAVERHILL MA 411,28.1K members,Any day
2,Quincy,Massachusetts,Everything Quincy,15.3K members,Any day
2,Attleboro,Massachusetts,"Attleboro, MA Community Resources Page",8.9K members,Any day
2,Quincy,Massachusetts,Quincy & Neighboring Communities In Massachusetts,6.7k members,Monday
2,Newburyport,Massachusetts,Newburyport MA. Bulletin Board,7.5k members ,Any day
2,West Springfield,Massachusetts,West Springfield Forum,6.6k members,Any day
2,West Springfield,Massachusetts,West Springfield Community Forum,23.5k members,any day
2,Quincy,Massachusetts,Quincy MA Community Page,9.3K members,Any day
2,Newburyport,Massachusetts,Newburyport Area Recommends,5.3k members,Any day
2,brockton,Massachusetts,brockton helping brockton,8.4K members,Any day
2,Brockton,Massachusetts,The Brockton Neighborhood improvement,3.7K members,Any day
2,Brockton,Massachusetts,What's Happening in Brockton?,13.4K members,Any day
2,Brockton,Massachusetts,Everything Brockton,4.3K members,THRICE a week
2,Weymouth,Massachusetts,Weymouth is Everything (WiE),29.1K members,Any day
2,Bridgewater,Massachusetts,Bridgewater 02324,13.6K members,Any day
2,Bridgewater,Massachusetts,Bridgewater MA Business,3.6K members,Any day
2,Randolph,Massachusetts,"Everything Randolph, Mass.",12.1K members,ONCE every 2-3 weeks
2,Chicopee,Massachusetts,"Chicopee, MA Open Forum",9.2k members,ONCE a week
2,Medford,Massachusetts,Medford MA,9.3k members,Once a MONTH
2,Gardner,Massachusetts,Gardner MA: Uncensored,5.8k members,once per week
2,Gardner,Massachusetts,"Gardner, Ma - # 1 What's going on Page!",8.5k members,Any day
2,Gardner,Massachusetts,Gardner Massachusetts - What is happening in this city?,16k members,Any day
2,Winthrop,Massachusetts,Winthrop Open Discussion Group,10.2k members,Any day
2,Winthrop,Massachusetts,Winthrop Nice Discussion Group,14.5k members,Any day
2,Greenfield,Massachusetts,Everything Greenfield MA (uncensored),5.3k members,Any day
2,Springfield,Massachusetts,"East Forest Park, Springfield MA",6.9k members,Sunday and Wednesday
2,Palmer,Massachusetts,THE Palmer Page,13.9k members,Once a week
2,Chicopee,Massachusetts,"Chicopee, MA Open Forum",9.2k members,Once a week
2,Northborough,Massachusetts,"ALL Things Northborough, Ma",5.3k members ,Anyday
2,Easthampton,Massachusetts,"Easthampton, MA Group Page",11.2k members,Anyday
2,Marlborough,Massachusetts,"Residents Of Marlborough, Ma",8.4k members,Once a week
2,Marlborough,Massachusetts,"Marlborough, MA Neighbors Group",7.1k Members,Any day
2,Somerville,Massachusetts,"Somerville, MA Community",26.6k members,Any day
2,Beverly,Massachusetts,"Beverly, MA Community",26.0k Members,Once a month 1st or 3rd Saturday
2,Southbridge,Massachusetts,Southbridge First,10.8k members,Any day
2,Newburyport,Massachusetts,Nice People of Newburyport,20.5k members,Saturday
2,Agawam,Massachusetts,"Agawam, MA Forum",18.2k members,Any day
2,North Adams,Massachusetts,The Real North Adams Chat,2.5k members,Any day
